daddr,Tracker Name,Tracker Category,Notes
a.applovin.com,Applovin,Advertising,
ads.mopub.com,MoPub,Advertising,
assets.dspunion.com,,Advertising,"Redirects to Mobvista / Amazon Registrar, Inc. Links to Mintegral which mention ads"
aws-fr.bidswitch.net,BidSwitch,Advertising,
cdn.flashtalking.com,Flashtalking,Advertising,
cdn.lfstmedia.com,LifeStreet,Advertising,
click-haproxy.supersonicads.com,SupersonicAds,Advertising,
d9.flashtalking.com,Flashtalking,Advertising,
dt.adsafeprotected.com,Integral Ad Science,Advertising,
fw.adsafeprotected.com,Integral Ad Science,Advertising,
grtb-nj.lfstmedia.com,LifeStreet,Advertising,
iab-imp-gateway.supersonicads.com,SupersonicAds,Advertising,
init.supersonicads.com,SupersonicAds,Advertising,
is-gateway.supersonicads.com,SupersonicAds,Advertising,
live.chartboost.com,Chartboost,Advertising,
mobile.adsafeprotected.com,Integral Ad Science,Advertising,
omax.admarvel.com,AdMarvel,Advertising,
outcome-cdn.supersonicads.com,SupersonicAds,Advertising,
outcome-ssp.supersonicads.com,SupersonicAds,Advertising,
pr.ybp.yahoo.com,Yahoo!,Advertising,
px.moatads.com,Moat,Advertising,
ads.api.vungle.com,Blackstone,Advertising,Vungle - Mobile Advertising and Monetization (Blackstone purchased them)
auction.unityads.unity3d.com,Unity Technologies,Advertising,
auiopt.unityads.unity3d.com,Unity Technologies,Advertising,
cache-ssl.celtra.com,Celtra,Advertising,"Celtra - Marketing Company, handling distribution"
cdn-creatives-highwinds-prd.unityads.unity3d.com,Unity Technologies,Advertising,
cdn2.inner-active.mobi,Fyber,Advertising,App Monetization
config.unityads.unity3d.com,Unity Technologies,Advertising,
connect.tapjoy.com,Tapjoy,Advertising,Mobile Advertising and App Monetization
content.tapjoy.com,Tapjoy,Advertising,Mobile Advertising and App Monetization
event.inner-active.mobi,Fyber,Advertising,App Monetization
httpkafka.unityads.unity3d.com,Unity Technologies,Advertising,
logs.supersonic.com,ironSource,Advertising,
mraid.presage.io,Presage,Advertising,"Belongs to Ogury Ltd, Mobile Advertising"
ms-ads-events.presage.io,Presage,Advertising,
networksdk.ssacdn.com,ironSource,Advertising,
p.presage.io,Presage,Advertising,
pad-v3.presage.io,Presage,Advertising,
placements.tapjoy.com,Tapjoy,Advertising,
resources.presage.io,Presage,Advertising,
rpc.tapjoy.com,Tapjoy,Advertising,
static.ssacdn.com,ironSource,Advertising,
sy-v1.presage.io,Presage,Advertising,
track.atom-data.io,ironSource,Advertising,
track.tenjin.com,TRACKER_HOSTLIST,Advertising,"Tenjin, marketing analytics"
us01.rayjump.com,Mobvista,Advertising,
v.ssacdn.com,ironSource,Advertising,App Monetization
ws.tapjoyads.com,Tapjoy,Advertising,
wv.inner-active.mobi,Fyber,Advertising,
consent-form.ogury.co,,Advertising,Ogury
publisher-config.unityads.unity3d.com,Unity Technologies,Advertising,
sdk-events.inner-active.mobi,Fyber,Advertising,
playable-stats.mindworks-creative.com,,Advertising,
analytics.dspunion.com,TRACKER_HOSTLIST,Analytics,Links to Mobvista
analytics.rayjump.com,Mobvista,Analytics,Mobvista but game analytics
api.gameanalytics.com,Mobvista,Analytics,Mobvista but game analytics
cdn.branch.io,Branch,Analytics,
firebase-settings.crashlytics.com,Google,Analytics,
adrta.com,Pixalate,Analytics,Advertising
cdn.adrta.com,Pixalate,Analytics,Advertising
imp.control.kochava.com,Kochava,Analytics,
ipv6.adrta.com,Pixalate,Analytics,
pix.adrta.com,Pixalate,Analytics,
q.adrta.com,Pixalate,Analytics,
tracking.prd.mz.internal.unity3d.com,Unity Technologies,Analytics,
play.rayjump.com,Mobvista,Analytics,
newplayable.dspunion.com,,Analytics,
admarvel.s3.amazonaws.com,Amazon Web Services,Content,
ajax.googleapis.com,Google,Content,
beap-bc.yahoo.com,Yahoo!,Content,
consent.youtube.com,Google,Content,
crashlyticsreports-pa.googleapis.com,Google,Content,
d2kre6881rwtik.cloudfront.net,Amazon.com,Content,
firebaseinstallations.googleapis.com,Google,Content,
cdp.cloud.unity3d.com,Unity Technologies,Content,
config.uca.cloud.unity3d.com,Unity Technologies,Content,
athena.api.kwalee.com,,Content,Kwalee Ltd - Game Creator
code.jquery.com,,Content,
live-playphoto.servers.kwalee.com,,Content,Kwalee Ltd - Game Creator
ad.doubleclick.net,Google,FingerprintingGeneral,
ade.googlesyndication.com,Google,FingerprintingGeneral,
adservice.google.com,Google,FingerprintingGeneral,
adx.g.doubleclick.net,Google,FingerprintingGeneral,
dpm.demdex.net,Adobe,FingerprintingGeneral,
googleads.g.doubleclick.net,Google,FingerprintingGeneral,
s0.2mdn.net,Google,FingerprintingGeneral,
static.doubleclick.net,Google,FingerprintingGeneral,
tags.bluekai.com,BlueKai,FingerprintingGeneral,
tpc.googlesyndication.com,Google,FingerprintingGeneral,
ade.googlesyndication.com,Google,FingerprintingGeneral,
adservice.google.com,Google,FingerprintingGeneral,
adx.g.doubleclick.net,Google,FingerprintingGeneral,
googleads.g.doubleclick.net,Google,FingerprintingGeneral,
static.doubleclick.net,Google,FingerprintingGeneral,
tpc.googlesyndication.com,Google,FingerprintingGeneral,
b-api.facebook.com,Facebook,Social,
graph.facebook.com,Facebook,Social,
api16-access-sg.pangle.io,,Uncategorised,"Lemon Inc - Couldn't find who they are, closest was a recruitment company, webpage 404s"
rumcdn.geoedge.be,TRACKER_HOSTLIST,Uncategorised,Couldn't find company behind it
dm16-alisg.byteoversea.com,,Uncategorised,Belongs to Lemon Inc
sf16-muse-va.ibytedtos.com,,Uncategorised,Lemon Inc
pool.ntp.org,,Uncategorised,
,,,
Advertising,53,,
Analytics,14,,
Content,12,,
FingerprintingGeneral,16,,
Social,2,,
Uncategorised,5,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
14,,,
,53,,
