Package Name,Tracker Count
com.AlexReutov.SaveTheBaby,48
com.amanotes.beathopper,61
com.bgg.jump,14
com.brain.riddle,51
com.chess,6
com.crazylabs.acrylic.nails,81
com.crazylabs.rubber.band.asmr.cut,58
com.demin.emojipuzzle,64
com.elex.twdsaw.gp,27
com.freeplay.runandfight,56
com.funnii.erase.story,79
com.GMA.Ball.Sort.Puzzle,92
com.gma.water.sort.puzzle,78
com.h8games.targetplanets,73
com.histudiogames.wordserenityg,28
com.hyperdivestudio.papersgradeplease,62
com.iec.imposter.solo.kill,82
com.innersloth.spacemafia,7
com.kura.save,89
com.kwalee.bladeforge3d,102
com.kwalee.letsbecops,92
com.lszenlamzr.parkingjam,98
com.miathecat.welcomebaby,56
com.moonactive.coinmaster,11
com.ohmgames.cheatandrun,53
com.peoplefun.wordcross,67
com.pixelbox.roofrails,83
com.quantumgames.skyscraper,53
com.RBSSOFT.HyperMobile,65
com.RevoluApps.Demolding3D,41
com.roblox.client,23
com.rubygames.spamaster,62
com.seenax.HideAndSeek,70
com.soccer.score.star,26
com.syubestgames.teachersimulator,63
com.tapped.flipdunk,64
com.tintash.nailsalon,95
com.topwar.gp,34
com.tripledot.woodoku,38
com.trivia.star.android,64
com.unicostudio.whois,60
com.utincomputer.hyperovertake,47
com.VacuumGames.OilWellDrilling,31
com.youmusic.magictiles,62
com.YsoCorp.StretchGuy,77
fall.race.io,78
gg.sunday.catescape,58
io.hyperhug.mr.slice,56
jp.drsv.BMXSpace,15
tr.com.apps.trivia.race,92
